id,uuid_a,gene_name_a,ncbi_id_b,uuid_b,gene_name_b,protein_name_b,alt_id_b,detection_method,pmid,analytic_throughput,source,curater_comments,meeting_imex_criteria,high_stringency_interactor
1,O15294,OGT,Homo sapiens (Human),Q9H1M0,NUP62CL,Nucleoporin-62 C-terminal-like protein,refseq:NP_060151,two hybrid,16189514,High throughput,BioGRID,,,
2,O15294,OGT,Homo sapiens (Human),O43427,FIBP,Acidic fibroblast growth factor intracellular-binding protein,refseq:NP_004205|refseq:NP_942600,affinity chromatography technology,17353931,High throughput,BioGRID,,,
3,O15294,OGT,Homo sapiens (Human),P24941,CDK2,Cyclin-dependent kinase 2,refseq:NP_001277159|refseq:NP_001789|refseq:NP_439892,affinity chromatography technology,17353931,High throughput,BioGRID,,,
4,O15294,OGT,Homo sapiens (Human),Q9P2S5,WRAP73,WD repeat-containing protein WRAP73,refseq:NP_060288,affinity chromatography technology,17353931,High throughput,BioGRID,,,
5,O15294,OGT,Homo sapiens (Human),Q9UPV9,TRAK1,Trafficking kinesin-binding protein 1,refseq:NP_001036111|refseq:NP_001252537|refseq:NP_001252539|refseq:NP_055780,pull down,12724313,Low throughput,BioGRID,,,
6,O15294,OGT,Homo sapiens (Human),P51610,HCFC1,Host cell factor 1,refseq:NP_005325|refseq:XP_006724879,affinity chromatography technology,12670868,Low throughput,BioGRID,,,
7,Q8CGY8,OGT,Mus musculus (Mouse),Q7TMY8,Huwe1,E3 ubiquitin-protein ligase HUWE1,refseq:NP_067498,two hybrid,28671696,High throughput,BioGRID,,,
8,Q8CGY8,OGT,Mus musculus (Mouse),Q61539,Esrrb,Steroid hormone receptor ERR2,refseq:NP_001152972|refseq:NP_036064,affinity chromatography technology,26206133,High throughput,BioGRID,,,
9,Q8CGY8,OGT,Mus musculus (Mouse),Q8C0J2,Atg16l1,Autophagy-related protein 16-1,refseq:NP_001192320|refseq:NP_084122,affinity chromatography technology,30196744,High throughput,BioGRID,,,
10,O15294,OGT,Homo sapiens (Human),Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,refseq:NP_001138829|refseq:NP_001138830|refseq:NP_056292|refseq:XP_006720528|refseq:XP_006720529|refseq:XP_006720530,pull down,12150998,Low throughput,BioGRID,,,
11,O15294,OGT,Homo sapiens (Human),Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,refseq:NP_001138829|refseq:NP_001138830|refseq:NP_056292|refseq:XP_006720528|refseq:XP_006720529|refseq:XP_006720530,two hybrid,12150998,Low throughput,BioGRID,,,
12,O15294,OGT,Homo sapiens (Human),Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,refseq:NP_001138829|refseq:NP_001138830|refseq:NP_056292|refseq:XP_006720528|refseq:XP_006720529|refseq:XP_006720530,affinity chromatography technology,12150998,Low throughput,BioGRID,,,
13,O15294,OGT,Homo sapiens (Human),Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1,refseq:NP_004647,affinity chromatography technology,19615732,High throughput,BioGRID,,,
14,O15294,OGT,Homo sapiens (Human),Q9Y297,BTRC,F-box/WD repeat-containing protein 1A,refseq:NP_003930|refseq:NP_378663,affinity chromatography technology,19615732,High throughput,BioGRID,,,
15,O15294,OGT,Homo sapiens (Human),Q9UKB1,FBXW11,F-box/WD repeat-containing protein 11,refseq:NP_036432|refseq:NP_387448|refseq:NP_387449,affinity chromatography technology,19615732,High throughput,BioGRID,,,
16,O15294,OGT,Homo sapiens (Human),Q8WTV1,THAP3,THAP domain-containing protein 3,refseq:NP_001182681|refseq:NP_001182682|refseq:NP_612359|refseq:XP_005263589,affinity chromatography technology,20200153,Low throughput,BioGRID,,,
17,O15294,OGT,Homo sapiens (Human),Q9NVV9,THAP1,THAP domain-containing protein 1,refseq:NP_060575|refseq:NP_945354,affinity chromatography technology,20200153,Low throughput,BioGRID,,,
18,O15294,OGT,Homo sapiens (Human),P51610,HCFC1,Host cell factor 1,refseq:NP_005325|refseq:XP_006724879,affinity chromatography technology,20200153,Low throughput,BioGRID,,,
19,O15294,OGT,Homo sapiens (Human),Q9UBL3,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2,refseq:NP_001098684|refseq:NP_001248761|refseq:NP_004665,affinity chromatography technology,31076518,High throughput,BioGRID,,,
20,O15294,OGT,Homo sapiens (Human),Q15291,RBBP5,Retinoblastoma-binding protein 5,refseq:NP_001180201|refseq:NP_001180202|refseq:NP_005048,affinity chromatography technology,31076518,High throughput,BioGRID,,,
