id,f126,f138,f144,f168,f186
1,19707.88,52024.75,7718.837,0,4319.369
2,17154.88672,58252.47852,0,6286.957397,0
3,51250.18,61795.54,15122.37,24924.11,16761.61
4,15414.25,28618.05,7217.242,18405.15,22058.53
5,16773.88,45485.55,10999.59,15703.44,16325.72
6,19791.92,43975.09,9557.073,12486.07,8497.444
7,19489.96,46042.93,7749.659,16962.34,9976.037
8,18637.25,42742.29,0,12184.91,6581.612
9,12664.1,35267.24,0,14039.25,6937.991
10,33282.24,50227.6,18309.19,15279.07,0
11,27762.43,33914.83,6076,13411.8,10672.43
12,26728.69,43405.23,0,0,0
13,19170.94238,38047.32227,10982.28638,9338.850342,0
14,23184.15674,24049.21631,26087.02832,10195.22656,32682.93652
15,26142.09863,37559.73828,30517.28076,16475.70557,89029.96875
16,12941.32,40962.87,0,11616.93,16051.41
17,15139.31,14974.93,5378.416,0,11673.97
18,25697.81,30726.96,6911.919,11626.34,13773.76
19,33653.44141,55363.39063,8265.768555,7585.567627,6539.766357
20,36004.77,58189.72,8866.504,0,12771.91
21,38151.54,34234.24,5497.314,17482.78,11760.57
22,26520.09,38226.38,0,6609.297,6397.145
23,15713.49,22721.79,0,13441.83,9368.718
24,16476.16,15226.54,0,11320.83,5098.635
25,16835.67,33690.11,7297.563,8097.209,0
26,21044.2,24272.93,0,7001.257,13307.58
27,29840.43,37176.02,0,15282.43,9179.262
28,29951.06592,43540.50098,7328.890381,0,6107.821533
29,27153.69678,35387.1748,10782.51318,7436.069092,0
30,16065.88,48851.7,0,15009.63,0
31,18265.72,18282.79,0,9816.633,9349.522
32,15143.08,42320,0,16042.75,13138.21
33,29686.24121,42513.71973,6272.174927,0,4676.093018
34,12781.72,22627.93,0,9551.942,11143.8
35,27858.79,36218.39,9662.259,11264.9,9009.842
36,22213.0498,44122.50586,8341.497559,10427.63989,0
37,17910.62,35572.69,8378.323,13031.93,9001.604
38,18540.0874,42401.90039,8329.871338,26663.82129,30066.96875
39,13854.72925,15731.85791,0,6767.911499,11905.82715
40,36954.23047,22897.94336,6464.753052,24641.34033,27079.01172
